surface	kind	classification	loops	pagination	notes
admin/accounting-operations/assets.blade.php	blade	form-or-reference-list	2	no	"non-table surface"
admin/accounting-operations/branding.blade.php	blade	not-a-list	0	no	"non-table surface"
admin/accounting-operations/purchase-return-create.blade.php	blade	form-or-reference-list	3	no	"non-table surface"
admin/accounting-operations/purchase-returns.blade.php	blade	reviewed-bounded-or-static	1	no	"table/list surface"
admin/accounting-operations/receipt-create.blade.php	blade	form-or-reference-list	3	no	"non-table surface"
admin/accounting-operations/receipts.blade.php	blade	reviewed-bounded-or-static	1	no	"table/list surface"
admin/accounting/batch-journal/create.blade.php	blade	reviewed-bounded-or-static	2	no	"table/list surface"
admin/accounting/chart-of-accounts/edit.blade.php	blade	not-a-list	0	no	"non-table surface"
admin/accounting/chart-of-accounts/index.blade.php	blade	paginated	3	yes	"table/list surface"
admin/accounting/enterprise.blade.php	blade	reviewed-bounded-or-static	8	no	"table/list surface"
admin/accounting/journal-entries/create.blade.php	blade	reviewed-bounded-or-static	2	no	"table/list surface"
admin/accounting/journal-entries/edit.blade.php	blade	reviewed-bounded-or-static	2	no	"table/list surface"
admin/accounting/journal-entries/index.blade.php	blade	paginated	2	yes	"table/list surface"
admin/accounting/journal-entries/show.blade.php	blade	reviewed-bounded-or-static	1	no	"table/list surface"
admin/accounting/opening-balance/create.blade.php	blade	reviewed-bounded-or-static	2	no	"table/list surface"
admin/accounting/reports.blade.php	blade	reviewed-bounded-or-static	11	no	"table/list surface"
admin/activity/index.blade.php	blade	paginated	2	yes	"non-table surface"
admin/activity/product.blade.php	blade	reviewed-bounded-or-static	2	no	"table/list surface"
admin/branches/index.blade.php	blade	reviewed-bounded-or-static	1	no	"table/list surface"
admin/catalog/brands/index.blade.php	blade	form-or-reference-list	1	no	"non-table surface"
admin/catalog/categories/index.blade.php	blade	form-or-reference-list	1	no	"non-table surface"
admin/catalog/price-adjustments.blade.php	blade	form-or-reference-list	1	no	"non-table surface"
admin/catalog/products/create.blade.php	blade	form-or-reference-list	4	no	"non-table surface"
admin/catalog/products/edit.blade.php	blade	form-or-reference-list	4	no	"non-table surface"
admin/catalog/products/index.blade.php	blade	reviewed-bounded-or-static	1	no	"table/list surface"
admin/catalog/suppliers/index.blade.php	blade	form-or-reference-list	1	no	"non-table surface"
admin/catalog/tax-rates/index.blade.php	blade	form-or-reference-list	1	no	"non-table surface"
admin/commercial/customer-receivable.blade.php	blade	paginated	1	yes	"non-table surface"
admin/commercial/purchase-receipt-create.blade.php	blade	form-or-reference-list	1	no	"non-table surface"
admin/commercial/purchase-receipts.blade.php	blade	reviewed-bounded-or-static	1	no	"table/list surface"
admin/commercial/receivables.blade.php	blade	paginated	1	yes	"table/list surface"
admin/commercial/vouchers.blade.php	blade	reviewed-bounded-or-static	1	no	"table/list surface"
admin/customers/index.blade.php	blade	form-or-reference-list	1	no	"non-table surface"
admin/dashboard/index.blade.php	blade	reviewed-bounded-or-static	7	no	"table/list surface"
admin/governance/changes.blade.php	blade	paginated	2	yes	"table/list surface"
admin/hr/index.blade.php	blade	paginated	8	yes	"table/list surface"
admin/imports/products/index.blade.php	blade	reviewed-bounded-or-static	1	no	"table/list surface"
admin/imports/products/show.blade.php	blade	reviewed-bounded-or-static	3	no	"table/list surface"
admin/insights/audit-show.blade.php	blade	form-or-reference-list	1	no	"non-table surface"
admin/insights/audit.blade.php	blade	paginated	1	yes	"table/list surface"
admin/insights/chat.blade.php	blade	paginated	2	yes	"non-table surface"
admin/insights/index.blade.php	blade	paginated	1	yes	"non-table surface"
admin/inventory/index.blade.php	blade	reviewed-bounded-or-static	7	no	"table/list surface"
admin/inventory/movements.blade.php	blade	reviewed-bounded-or-static	1	no	"table/list surface"
admin/inventory/warehouses.blade.php	blade	paginated	10	yes	"table/list surface"
admin/operations/alert-recipients.blade.php	blade	form-or-reference-list	1	no	"non-table surface"
admin/operations/backups.blade.php	blade	form-or-reference-list	1	no	"non-table surface"
admin/operations/settings.blade.php	blade	not-a-list	0	no	"non-table surface"
admin/payment-methods/index.blade.php	blade	paginated	2	yes	"non-table surface"
admin/pos/workstation.blade.php	blade	paginated	6	yes	"non-table surface"
admin/procurement/enterprise.blade.php	blade	paginated	8	yes	"table/list surface"
admin/procurement/index.blade.php	blade	form-or-reference-list	2	no	"non-table surface"
admin/reports/audit-log.blade.php	blade	paginated	3	yes	"table/list surface"
admin/reports/hub.blade.php	blade	paginated	4	yes	"table/list surface"
admin/reports/low-stock.blade.php	blade	reviewed-bounded-or-static	1	no	"table/list surface"
admin/reports/staff-performance.blade.php	blade	reviewed-bounded-or-static	3	no	"table/list surface"
admin/reports/supplier-balances.blade.php	blade	reviewed-bounded-or-static	1	no	"table/list surface"
admin/roles/index.blade.php	blade	form-or-reference-list	3	no	"non-table surface"
admin/sales/create.blade.php	blade	form-or-reference-list	3	no	"non-table surface"
admin/sales/edit.blade.php	blade	form-or-reference-list	1	no	"non-table surface"
admin/sales/index.blade.php	blade	paginated	1	yes	"table/list surface"
admin/sales/partials/quick-customer-modal.blade.php	blade	not-a-list	0	no	"non-table surface"
admin/sales/show.blade.php	blade	reviewed-bounded-or-static	4	no	"table/list surface"
